Date,Equity
2005-10-10,100000.0
2005-10-11,100000.0
2005-10-12,100000.0
2005-10-13,100000.0
2005-10-14,100000.0
2005-10-17,100000.0
2005-10-18,100000.0
2005-10-19,100000.0
2005-10-20,100000.0
2005-10-21,100000.0
2005-10-24,100000.0
2005-10-25,100000.0
2005-10-26,100000.0
2005-10-27,100000.0
2005-10-28,100000.0
2005-10-31,100000.0
2005-11-01,100000.0
2005-11-02,100000.0
2005-11-03,100000.0
2005-11-04,100000.0
2005-11-07,100000.0
2005-11-08,100000.0
2005-11-09,100000.0
2005-11-10,100000.0
2005-11-11,100000.0
2005-11-14,100000.0
2005-11-15,100000.0
2005-11-16,100000.0
2005-11-17,100000.0
2005-11-18,100000.0
2005-11-21,100000.0
2005-11-22,100000.0
2005-11-23,100000.0
2005-11-24,100000.0
2005-11-25,100000.0
2005-11-28,100000.0
2005-11-29,100000.0
2005-11-30,100000.0
2005-12-01,100000.0
2005-12-02,100000.0
2005-12-05,100000.0
2005-12-06,100000.0
2005-12-07,100000.0
2005-12-08,100000.0
2005-12-09,100000.0
2005-12-12,100000.0
2005-12-13,100000.0
2005-12-14,100000.0
2005-12-15,100000.0
2005-12-16,100000.0
2005-12-19,100000.0
2005-12-20,100000.0
2005-12-21,100000.0
2005-12-22,100000.0
2005-12-23,100000.0
2005-12-27,100000.0
2005-12-28,100000.0
2005-12-29,102702.92184099657
2005-12-30,100000.0
2006-01-02,97297.40248367835
2006-01-03,97297.40248367835
2006-01-04,97297.40248367835
2006-01-05,97297.40248367835
2006-01-09,96793.17056078825
2006-01-10,93768.38398076361
2006-01-11,93768.38398076361
2006-01-12,93768.38398076361
2006-01-13,93768.38398076361
2006-01-16,93768.38398076361
2006-01-17,93768.38398076361
2006-01-18,93768.38398076361
2006-01-19,93768.38398076361
2006-01-20,93768.38398076361
2006-01-23,93768.38398076361
2006-01-24,93768.38398076361
2006-01-25,93768.38398076361
2006-01-26,93768.38398076361
2006-01-27,93768.38398076361
2006-01-30,93768.38398076361
2006-01-31,93768.38398076361
2006-02-01,93768.38398076361
2006-02-02,93768.38398076361
2006-02-03,93768.38398076361
2006-02-06,93768.38398076361
2006-02-07,93768.38398076361
2006-02-08,93768.38398076361
2006-02-09,93768.38398076361
2006-02-10,93768.38398076361
2006-02-13,93768.38398076361
2006-02-14,93768.38398076361
2006-02-15,93768.38398076361
2006-02-16,93768.38398076361
2006-02-17,93768.38398076361
2006-02-20,93768.38398076361
2006-02-21,93768.38398076361
2006-02-22,93768.38398076361
2006-02-23,93768.38398076361
2006-02-24,95983.38517715961
2006-02-27,96475.70610974521
2006-02-28,98444.39917310198
2006-03-01,97460.0526414236
2006-03-02,97460.0526414236
2006-03-03,96967.731708838
2006-03-06,95491.064244574
2006-03-07,92045.70371695323
2006-03-08,92045.70371695323
2006-03-09,92045.70371695323
2006-03-10,92045.70371695323
2006-03-13,92045.70371695323
2006-03-14,92045.70371695323
2006-03-15,92045.70371695323
2006-03-16,92045.70371695323
2006-03-17,92045.70371695323
2006-03-20,92045.70371695323
2006-03-21,92045.70371695323
2006-03-22,92045.70371695323
2006-03-23,92045.70371695323
2006-03-24,92045.70371695323
2006-03-27,92045.70371695323
2006-03-28,92045.70371695323
2006-03-29,92045.70371695323
2006-03-30,92045.70371695323
2006-03-31,92045.70371695323
2006-04-03,92045.70371695323
2006-04-04,92045.70371695323
2006-04-05,92045.70371695323
2006-04-06,92045.70371695323
2006-04-07,92045.70371695323
2006-04-10,92045.70371695323
2006-04-11,92045.70371695323
2006-04-12,92045.70371695323
2006-04-13,92045.70371695323
2006-04-18,92045.70371695323
2006-04-19,92045.70371695323
2006-04-20,92045.70371695323
2006-04-21,92045.70371695323
2006-04-24,92045.70371695323
2006-04-25,92045.70371695323
2006-04-26,92045.70371695323
2006-04-27,92045.70371695323
2006-04-28,92045.70371695323
2006-05-02,92045.70371695323
2006-05-03,92045.70371695323
2006-05-04,92045.70371695323
2006-05-05,92045.70371695323
2006-05-08,92045.70371695323
2006-05-09,92045.70371695323
2006-05-10,92045.70371695323
2006-05-11,92045.70371695323
2006-05-12,92045.70371695323
2006-05-15,92045.70371695323
2006-05-16,92045.70371695323
2006-05-17,92045.70371695323
2006-05-18,92045.70371695323
2006-05-19,92045.70371695323
2006-05-22,92045.70371695323
2006-05-23,92045.70371695323
2006-05-24,92045.70371695323
2006-05-26,92045.70371695323
2006-05-29,92045.70371695323
2006-05-30,92045.70371695323
2006-05-31,92045.70371695323
2006-06-01,92045.70371695323
2006-06-02,92045.70371695323
2006-06-05,92045.70371695323
2006-06-07,92045.70371695323
2006-06-08,92045.70371695323
2006-06-12,92045.70371695323
2006-06-13,92045.70371695323
2006-06-14,92045.70371695323
2006-06-15,92045.70371695323
2006-06-16,92045.70371695323
2006-06-19,92045.70371695323
2006-06-20,92045.70371695323
2006-06-21,92045.70371695323
2006-06-22,92045.70371695323
2006-06-26,92045.70371695323
2006-06-27,92045.70371695323
2006-06-28,92045.70371695323
2006-06-29,92045.70371695323
2006-06-30,92045.70371695323
