Date,Portfolio,Buy&Hold,OMXS30GI
2020-10-05,1.0,1.0,1.0
2020-10-06,1.0,0.9859644936750463,0.999712605943259
2020-10-07,1.0,0.992762251552056,0.9997517817961408
2020-10-08,1.0,0.9822619104284106,1.0009339523327028
2020-10-09,1.0,0.9881096559524375,1.000212176419208
2020-10-12,1.0,0.9803418580245654,1.0085403359282374
2020-10-13,1.0,0.9822978179419705,0.9966180269724181
2020-10-14,1.0,1.0056515892281992,1.0006396633258545
2020-10-15,1.0,0.9837993354322071,0.9854742205650663
2020-10-16,1.0,1.0013520962671325,0.997623122653954
2020-10-19,1.0,1.002214212049711,1.0010383168047798
2020-10-20,1.0,1.002043326102872,1.0010373765843108
2020-10-21,1.0,0.9816355938158022,0.9896939300306732
2020-10-22,1.0,0.9717610117206005,0.9881328506450383
2020-10-23,1.0,1.0022440156032901,0.9904147657236987
2020-10-26,1.0,0.974401161407016,0.9659652726435646
2020-10-27,1.0,0.9794410581406154,0.9599770084754609
2020-10-28,1.0,0.9558738386496491,0.9374778460551955
2020-10-29,1.0,0.9526008196033899,0.9347812937496337
2020-10-30,1.0,0.9618705702091394,0.9356506842767871
2020-11-02,1.0,0.9714737130798818,0.9524295453626603
2020-11-03,1.0,0.9966670565222614,0.9654208849919188
2020-11-04,1.0,1.0172040259389965,0.9785739425418735
2020-11-05,1.0,1.0446575639918492,0.9931150789111369
2020-11-06,1.0,1.0423474497324277,0.9916461411314801
2020-11-09,1.0,1.0637130844150693,1.0293712338293832
2020-11-10,1.0,1.0536068986307454,1.0276274382659076
2020-11-11,1.0,1.0696949470635033,1.0370844891515796
2020-11-12,1.0,1.0619108885307658,1.0313717095809407
2020-11-13,1.0,1.0636983016349002,1.0340359809837276
2020-11-16,1.0,1.081243730011401,1.0455706056994285
2020-11-17,1.0,1.0807982769289353,1.0476077500492833
2020-11-18,1.0,1.0863181742971835,1.0477885857861857
2020-11-19,1.0,1.0812341422836926,1.043902654587132
2020-11-20,1.0,1.0861411594577381,1.049936676151402
2020-11-23,1.0,1.092209234591071,1.0473748887797538
2020-11-24,1.0,1.0984780490900725,1.0562957005911795
2020-11-25,1.0,1.0875019549444795,1.0530882951640388
2020-11-26,1.0,1.085596449594165,1.0533832109845331
2020-11-27,1.0,1.1019546248886531,1.0571641508978635
2020-11-30,1.0,1.0919427954912748,1.0464951558274393
2020-12-01,1.0,1.0996054570716858,1.0500191021458654
2020-12-02,1.0,1.106434056606126,1.047801748872754
2020-12-03,1.0,1.11373174988497,1.0446905593402913
2020-12-04,1.0,1.0891395955021543,1.0472924627852904
2020-12-07,1.0,1.090044078614834,1.0421958410287766
2020-12-08,1.0,1.1034752385032267,1.0519725668739643
2020-12-09,1.0,1.102130923481773,1.052474644604498
2020-12-10,1.0,1.1007545315046385,1.0421469495643803
2020-12-11,1.0,1.086374998016723,1.0336210303500033
2020-12-14,1.0,1.0887884920068267,1.0333110710020024
2020-12-15,1.0,1.099548769348284,1.0328676003473802
2020-12-16,1.0,1.0939282801701764,1.0341911173611398
2020-12-17,1.0,1.0950295904929632,1.0303205430964155
2020-12-18,1.0,1.1031805167399913,1.0312538686154722
2020-12-21,0.9947385728378823,1.0973377214753768,1.0084237485900611
2020-12-22,0.9965111329409456,1.1062925208924066,1.0183543571853686
2020-12-23,0.995186425552523,1.1111517467570586,1.020929307643585
2020-12-28,0.9981749733770051,1.1309899521520255,1.030977130390715
2020-12-29,1.015452421203452,1.1545989564563035,1.034630200320239
2020-12-30,1.006922459292231,1.1413557046979868,1.0246165389168223
2021-01-04,0.9999033546964042,1.1548252789620774,1.0359590452499907
2021-01-05,1.001748662666601,1.156945293287004,1.0342428294869437
2021-01-07,1.036559670013383,1.1969560959135428,1.0600048703420304
2021-01-08,1.0551033068151934,1.2181249555179299,1.0654042430896147
2021-01-11,1.04164914650942,1.2027316864201056,1.0610958394930832
2021-01-12,1.0488988593300048,1.211240289309117,1.070459181738662
2021-01-13,1.0340108643144537,1.194068045667503,1.0724508820991738
2021-01-14,1.040135576178766,1.2011851111428438,1.0778956988361013
2021-01-15,1.012327913070103,1.1690343752904084,1.0683204935781376
2021-01-18,1.0106396006143616,1.1674905902005717,1.0725402030437445
2021-01-19,1.0318164731771038,1.188363456477836,1.0700414104435303
2021-01-20,1.036194408830289,1.197838071665431,1.0812551065724232
2021-01-21,1.046060189134668,1.2166696971139352,1.0861144793638844
2021-01-22,1.0485678295470389,1.2129430561505385,1.085554421371086
2021-01-25,1.042236339392884,1.196081377822203,1.079444241948814
2021-01-26,1.0965027471193154,1.259274345008602,1.0885151756284825
2021-01-27,1.0918302285045378,1.242578328108815,1.080066041085754
2021-01-28,1.0918302285045378,1.2470237857244855,1.077446586858664
2021-01-29,1.098357088869867,1.2427872499087693,1.0650889558256218
2021-02-01,1.1127999307125322,1.2921659674198585,1.0809460874448915
2021-02-02,1.132457730011085,1.3252494214497643,1.0867848565583982
2021-02-03,1.1389265220981992,1.3310926315025986,1.0917940378112796
2021-02-04,1.129040409887032,1.3180380177202968,1.0965358830440954
2021-02-05,1.1122593414286455,1.2955894639258911,1.0872505790974574
2021-02-08,1.1173270891083156,1.3076082585921227,1.0944507874503133
2021-02-09,1.1079359850515262,1.2959039277951172,1.0926324010629507
2021-02-10,1.1043421418098038,1.2891717812547456,1.0920174968761176
2021-02-11,1.1128120960472014,1.3038401614727475,1.0985771016826498
2021-02-12,1.1199875019564276,1.3133778788682402,1.106587780079925
2021-02-15,1.1349737176156554,1.3299588589017406,1.1145464329445731
2021-02-16,1.1386678367693615,1.3216015766485565,1.1149776807330962
2021-02-17,1.1317042505877801,1.3073609496156975,1.103590357224231
