row,RB,BH,OMXS30GI
2020-10-05,,1.0,0.9997517817961408
2020-10-06,1.0,1.0,1.0009339523327028
2020-10-07,1.0,1.0,1.000212176419208
2020-10-08,1.0,1.0,1.0085403359282374
2020-10-09,1.0,1.0,0.9966180269724181
2020-10-12,1.0,1.0,1.0006396633258545
2020-10-13,1.0,1.0,0.9854742205650663
2020-10-14,1.0,1.0,0.997623122653954
2020-10-15,1.0,1.0,1.0010383168047798
2020-10-16,1.0,1.0,1.0010373765843108
2020-10-19,1.0,1.0,0.9896939300306732
2020-10-20,1.0,1.0,0.9881328506450383
2020-10-21,1.0,1.0,0.9904147657236987
2020-10-22,1.0,1.0,0.9659652726435646
2020-10-23,1.0,1.0,0.9599770084754609
2020-10-26,1.0,1.0,0.9374778460551955
2020-10-27,1.0,1.0,0.9347812937496337
2020-10-28,1.0,1.0,0.9356506842767871
2020-10-29,1.0,1.0,0.9524295453626603
2020-10-30,1.0,1.0,0.9654208849919188
2020-11-02,1.0,1.0,0.9785739425418735
2020-11-03,1.0095855272039962,1.0095855272039962,0.9931150789111369
2020-11-04,1.02243951068798,1.0222835038535816,0.9916461411314801
2020-11-05,1.0407773921091337,1.0408821267778423,1.0293712338293832
2020-11-06,1.0389577682479354,1.03892733665569,1.0276274382659076
2020-11-09,1.058819899898718,1.059138300432611,1.0370844891515796
2020-11-10,1.0567587070253917,1.0569281701797948,1.0313717095809407
2020-11-11,1.072531412083891,1.073110042791484,1.0340359809837276
2020-11-12,1.0626659572182613,1.0628909198701582,1.0455706056994285
2020-11-13,1.0659734757418025,1.0662035324986354,1.0476077500492833
2020-11-16,1.0809479482635134,1.0815176008593517,1.0477885857861857
2020-11-17,1.0799793313588129,1.080495770745652,1.043902654587132
2020-11-18,1.0878699390592235,1.0886462277164375,1.049936676151402
2020-11-19,1.0809013771720115,1.0813558267443841,1.0473748887797538
2020-11-20,1.0825010059190179,1.082960446671694,1.0562957005911795
2020-11-23,1.0938333980818626,1.094841100107633,1.0530882951640388
2020-11-24,1.1046834179474958,1.106451738692755,1.0533832109845331
2020-11-25,1.1022087687137425,1.1037515901845871,1.0571641508978635
2020-11-26,1.1014630252978332,1.1029415456321368,1.0464951558274393
2020-11-27,1.1064413892539817,1.1083418426484728,1.0500191021458654
2020-11-30,1.1021241709012628,1.1036165827591786,1.047801748872754
2020-12-01,1.1054808942644139,1.1072617832452056,1.0446905593402913
2020-12-02,1.1090645010086202,1.1111769985820492,1.0472924627852904
2020-12-03,1.1051355666532259,1.1068567609689801,1.0421958410287766
2020-12-04,1.0822967830576946,1.0835032050900366,1.0519725668739643
2020-12-07,1.0847808681883002,1.0859290201631382,1.052474644604498
2020-12-08,1.0941963780910393,1.0951657775568717,1.0421469495643803
2020-12-09,1.0869971025964644,1.0879816329173013,1.0336210303500033
2020-12-10,1.0941035167086275,1.0949791763974024,1.0333110710020024
2020-12-11,1.0850857300282952,1.085807786640968,1.0328676003473802
2020-12-14,1.09236332452156,1.0927977071419575,1.0341911173611398
2020-12-15,1.0990980204277814,1.0991795812587792,1.0303205430964155
2020-12-16,1.0981074815492677,1.098060600559735,1.0312538686154722
2020-12-17,1.0934653295720418,1.0936907192704288,1.0084237485900611
2020-12-18,1.0981545034796842,1.0979920476906522,1.0183543571853686
2020-12-21,1.0993105314930758,1.0992563833647462,1.020929307643585
2020-12-22,1.1015812477987676,1.1014955972783784,1.030977130390715
2020-12-23,1.108059743082474,1.108295389050943,1.034630200320239
2020-12-28,1.1246442966753059,1.1250797366736272,1.0246165389168223
2020-12-29,1.1459969206322373,1.14694792052797,1.0359590452499907
2020-12-30,1.1388929824854273,1.1394466321342596,1.0342428294869437
2021-01-04,1.1471084416665844,1.148546880574499,1.0600048703420304
2021-01-05,1.1492254146121645,1.150429753037163,1.0654042430896147
2021-01-07,1.1891612746158904,1.1903626131693674,1.0610958394930832
2021-01-08,1.210434892925746,1.2099926742806524,1.070459181738662
2021-01-11,1.1950000203555124,1.193939199807345,1.0724508820991738
2021-01-12,1.203317030931676,1.2020062457027039,1.0778956988361013
2021-01-13,1.1862372354878312,1.1843615967184198,1.0683204935781376
2021-01-14,1.1867219580276158,1.1848090129754905,1.0725402030437445
2021-01-15,1.1807889536460883,1.1793281638263737,1.0700414104435303
2021-01-18,1.1809112644968904,1.1794400178906412,1.0812551065724232
2021-01-19,1.1834792604122302,1.1817889532402628,1.0861144793638844
2021-01-20,1.1834792604122302,1.1817889532402628,1.085554421371086
2021-01-21,1.1893966567142915,1.1877284681461726,1.079444241948814
2021-01-22,1.192247906722365,1.1908831469708845,1.0885151756284825
2021-01-25,1.1850488437051587,1.183690742308294,1.080066041085754
2021-01-26,1.189056079266412,1.1873280405295537,1.077446586858664
2021-01-27,1.1839891638583266,1.1828060930983317,1.0650889558256218
2021-01-28,1.1886250822742581,1.1869944971106914,1.0809460874448915
2021-01-29,1.1882252515090639,1.1873849646364654,1.0867848565583982
2021-02-01,1.2165548077183617,1.2149136237493752,1.0917940378112796
2021-02-02,1.2434295232493497,1.242365096952213,1.0965358830440954
2021-02-03,1.2505322051841545,1.248780018939466,1.0872505790974574
2021-02-04,1.2396773331057054,1.2376278933376583,1.0944507874503133
2021-02-05,1.229822462978422,1.227046815439157,1.0926324010629507
2021-02-08,1.2354258593276581,1.232943535278346,1.0920174968761176
2021-02-09,1.2310214890626754,1.2282470874489502,1.0985771016826498
2021-02-10,1.2372597736356281,1.234851467209038,1.106587780079925
2021-02-11,1.2339659040219557,1.2313291313369912,1.1145464329445731
